PartNumber,Vault Folder,Manufacturer,PackageReference,Description,CompType,U/M,Vf_V,Value,Value1,Value2,Io_A,Vr_V,TJmax_C,RJC_CperW,MountType,Type,RoHS,Library Ref,Library Path,Sim Model Name,Sim File,Sim Kind,Sim Subkind,Sim Netlist,Sim Spice Prefix,Sim Port Map,SizeAreaWB_mm2,SizeArea_mm2,SizeX_mm,SizeY_mm,SizeZ_mm,Footprint Ref,Footprint Ref 2,Footprint Ref 3,Footprint Ref 4,Footprint Ref 5,Footprint Path,Footprint Path 2,Footprint Path 3,Footprint Path 4,Footprint Path 5,Published,Publisher,LatestRevisionDate,ComponentLink1Description,ComponentLink1URL,Alternate Manufacturer,Alternate PartNumber,Supplier 1,Supplier Part Number 1,Supplier 2,Supplier Part Number 2,Supplier 3,Supplier Part Number 3,AEC Category,AEC Qualified
B320-13-F,Unified Components/Diode/Schottky,Diodes Inc.,SMC,"Diode, Schottky, 20 V, 3 A, SMC",Diode,EA,0.5,20V,3A,0.5V,3,20,150,20,SMT,Schottky,Y,DIODE_SCHOTTKY,C:\AltiumLibraries\Symbols\DIODE_SCHOTTKY.SchLib,DI_B320,C:\AltiumLibraries\Models\Diodes\19_B320.mdl,General,Diode,,D,"(1:2),(2:1)",83.2686,50.5686,8.13,6.22,2.6,SMC,,,,,C:\AltiumLibraries\Footprints\SMC.PcbLib,,,,,26/06/2008,Texas Instruments,23/01/2017,Datasheet link,http://www.diodes.com/datasheets/ds30923.pdf, , ,Digi-Key,B320-FDICT-ND,Mouser,621-B320-F,,,Q101,?
B320A-13-F,Unified Components/Diode/Schottky,Diodes Inc.,SMA,"Diode, Schottky, 20 V, 3 A, SMA",Diode,EA,0.5,20V,3A,0.5V,3,20,125,25,SMT,Schottky,Y,DIODE_SCHOTTKY,C:\AltiumLibraries\Symbols\DIODE_SCHOTTKY.SchLib,DI_B320A,C:\AltiumLibraries\Models\Diodes\19_B320A.mdl,General,Diode,,D,"(1:2),(2:1)",37.3428,16.3228,5.59,2.92,2.87,SMA,,,,,C:\AltiumLibraries\Footprints\SMA.PcbLib,,,,,26/06/2008,Texas Instruments,23/01/2017,Datasheet link,http://www.diodes.com/datasheets/ds30891.pdf, , ,Digi-Key,B320A-FDICT-ND,Mouser,621-B320A-F,Farnell,1858605,Q101,?
B320B-13-F,Unified Components/Diode/Schottky,Diodes Inc.,SMB,"Diode, Schottky, 20 V, 3 A, SMB",Diode,EA,0.5,20V,3A,0.5V,3,20,125,25,SMT,Schottky,Y,DIODE_SCHOTTKY,C:\AltiumLibraries\Symbols\DIODE_SCHOTTKY.SchLib,DI_B320B,C:\AltiumLibraries\Models\Diodes\19_B320B.mdl,General,Diode,,D,"(1:2),(2:1)",44.156,21.336,5.6,3.81,2.6,SMB,,,,,C:\AltiumLibraries\Footprints\SMB.PcbLib,,,,,26/06/2008,Texas Instruments,23/01/2017,Datasheet link,http://www.diodes.com/datasheets/ds30924.pdf, , ,Digi-Key,B320B-FDICT-ND,Mouser,621-B320B-F,,,Q101,?
B330-13-F,Unified Components/Diode/Schottky,Diodes Inc.,SMC,"Diode, Schottky, 30 V, 3 A, SMC",Diode,EA,0.5,30V,3A,0.5V,3,30,125,20,SMT,Schottky,Y,DIODE_SCHOTTKY,C:\AltiumLibraries\Symbols\DIODE_SCHOTTKY.SchLib,DI_B330,C:\AltiumLibraries\Models\Diodes\19_B330.mdl,General,Diode,,D,"(1:2),(2:1)",83.2686,50.5686,8.13,6.22,2.6,SMC,,,,,C:\AltiumLibraries\Footprints\SMC.PcbLib,,,,,26/06/2008,Texas Instruments,23/01/2017,Datasheet link,http://www.diodes.com/datasheets/ds30923.pdf, , ,Digi-Key,B330-FDICT-ND,Mouser,621-B330-F,,,Q101,?
B330A-13-F,Unified Components/Diode/Schottky,Diodes Inc.,SMA,"Diode, Schottky, 30 V, 3 A, SMA",Diode,EA,0.5,30V,3A,0.5V,3,30,125,25,SMT,Schottky,Y,DIODE_SCHOTTKY,C:\AltiumLibraries\Symbols\DIODE_SCHOTTKY.SchLib,DI_B330A,C:\AltiumLibraries\Models\Diodes\19_B330A.mdl,General,Diode,,D,"(1:2),(2:1)",37.3428,16.3228,5.59,2.92,2.87,SMA,,,,,C:\AltiumLibraries\Footprints\SMA.PcbLib,,,,,26/06/2008,Texas Instruments,23/01/2017,Datasheet link,http://www.diodes.com/datasheets/ds30891.pdf, , ,Digi-Key,B330A-FDICT-ND,Mouser,621-B330A-F,Farnell,1843685,Q101,?
B330B-13-F,Unified Components/Diode/Schottky,Diodes Inc.,SMB,"Diode, Schottky, 30 V, 3 A, SMB",Diode,EA,0.5,30V,3A,0.5V,3,30,125,25,SMT,Schottky,Y,DIODE_SCHOTTKY,C:\AltiumLibraries\Symbols\DIODE_SCHOTTKY.SchLib,DI_B330B,C:\AltiumLibraries\Models\Diodes\19_B330B.mdl,General,Diode,,D,"(1:2),(2:1)",44.156,21.336,5.6,3.81,2.6,SMB,,,,,C:\AltiumLibraries\Footprints\SMB.PcbLib,,,,,26/06/2008,Texas Instruments,23/01/2017,Datasheet link,http://www.diodes.com/datasheets/ds30924.pdf, , ,Digi-Key,B330B-FDICT-ND,Mouser,621-B330B-F,,,Q101,?
B340-13-F,Unified Components/Diode/Schottky,Diodes Inc.,SMC,"Diode, Schottky, 40 V, 3 A, SMC",Diode,EA,0.5,40V,3A,0.5V,3,40,125,20,SMT,Schottky,Y,DIODE_SCHOTTKY,C:\AltiumLibraries\Symbols\DIODE_SCHOTTKY.SchLib,DI_B340,C:\AltiumLibraries\Models\Diodes\19_B340.mdl,General,Diode,,D,"(1:2),(2:1)",83.2686,50.5686,8.13,6.22,2.6,SMC,,,,,C:\AltiumLibraries\Footprints\SMC.PcbLib,,,,,26/06/2008,Texas Instruments,23/01/2017,Datasheet link,http://www.diodes.com/datasheets/ds30923.pdf, , ,Digi-Key,B340-FDICT-ND,Mouser,621-B340-F,Farnell,1843695,Q101,?
B340A-13-F,Unified Components/Diode/Schottky,Diodes Inc.,SMA,"Diode, Schottky, 40 V, 3 A, SMA",Diode,EA,0.5,40V,3A,0.5V,3,40,125,25,SMT,Schottky,Y,DIODE_SCHOTTKY,C:\AltiumLibraries\Symbols\DIODE_SCHOTTKY.SchLib,DI_B340A,C:\AltiumLibraries\Models\Diodes\19_B340A.mdl,General,Diode,,D,"(1:2),(2:1)",37.3428,16.3228,5.59,2.92,2.87,SMA,,,,,C:\AltiumLibraries\Footprints\SMA.PcbLib,,,,,26/06/2008,Texas Instruments,23/01/2017,Datasheet link,http://www.diodes.com/datasheets/ds30891.pdf, , ,Digi-Key,B340A-FDICT-ND,Mouser,621-B340A-F,Farnell,1843668,Q101,?
10MQ100NTRPBF,Unified Components/Diode/Schottky,International Rectifier,SMA,"Diode, Schottky, 100 V, 1.5 A, SMA",Diode,EA,0.68,100V,1.5A,0.68V,1.5,100,150,,SMT,Schottky,Y,DIODE_SCHOTTKY,C:\AltiumLibraries\Symbols\DIODE_SCHOTTKY.SchLib,10mq100n,C:\AltiumLibraries\Models\Diodes\10mq100n.mdl,General,Diode,,D,"(1:2),(2:1)",37.3428,16.3228,5.59,2.92,2.87,SMA,,,,,C:\AltiumLibraries\Footprints\SMA.PcbLib,,,,,26/06/2008,Texas Instruments,23/01/2017,Datasheet link,http://www.vishay.com/docs/94119/94119.pdf, , ,Digi-Key,VS-10MQ100NPBFCT-ND,Mouser,844-10MQ100NTRPBF,Farnell,8656916,Q101,?
12CWQ03FNPBF,Unified Components/Diode/Schottky,Vishay-Semiconductor,DPAK,"Diode, Schottky, 30 V, 12 A, DPAK",Diode,EA,0.55,30V,12A,0.55V,12,30,150,1.5,SMT,Schottky,Y,DIODE_SCHOTTKY_A1C4_A3C4,C:\AltiumLibraries\Symbols\DIODE_SCHOTTKY_A1C4_A3C4.SchLib,,n/a,,,,,,101.7114,64.8114,9.91,6.54,2.29,DPAK,,,,,C:\AltiumLibraries\Footprints\DPAK.PcbLib,,,,,26/06/2008,Texas Instruments,23/01/2017,Datasheet link,http://www.vishay.com/docs/94132/12cwq03f.pdf, , ,,,,,,,Q101,?
12CWQ04FNPBF,Unified Components/Diode/Schottky,Vishay-Semiconductor,DPAK,"Diode, Schottky, 40 V, 12 A, DPAK",Diode,EA,0.68,40V,12A,0.68V,12,40,150,1.5,SMT,Schottky,Y,DIODE_SCHOTTKY_A1C4_A3C4,C:\AltiumLibraries\Symbols\DIODE_SCHOTTKY_A1C4_A3C4.SchLib,,n/a,,,,,,101.7114,64.8114,9.91,6.54,2.29,DPAK,,,,,C:\AltiumLibraries\Footprints\DPAK.PcbLib,,,,,26/06/2008,Texas Instruments,23/01/2017,Datasheet link,http://www.vishay.com/docs/94133/12cwq04f.pdf, , ,Mouser,844-12CWQ04FNPBF,Farnell,9101179,,,Q101,?
12CWQ06FNPBF,Unified Components/Diode/Schottky,Vishay-Semiconductor,DPAK,"Diode, Schottky, 60 V, 12 A, DPAK",Diode,EA,0.79,60V,12A,0.79V,12,60,150,1.5,SMT,Schottky,Y,DIODE_SCHOTTKY_A1C4_A3C4,C:\AltiumLibraries\Symbols\DIODE_SCHOTTKY_A1C4_A3C4.SchLib,12CWQ06FN,C:\AltiumLibraries\Models\Diodes\53_12CWQ06FN.ckt,General,Diode,@DESIGNATOR %1 %2 @MODEL,X,"(1:1),(3:Not Connected),(4:2)",101.7114,64.8114,9.91,6.54,2.29,DPAK,,,,,C:\AltiumLibraries\Footprints\DPAK.PcbLib,,,,,26/06/2008,Texas Instruments,23/01/2017,Datasheet link,http://www.vishay.com/docs/94134/12cwq06f.pdf, , ,Mouser,844-12CWQ06FNPBF,Farnell,9101187,Newark,73K9770,Q101,?
